PFId,PrjCode,ClstAgg,ClstPrct,AdmLocTypeIdAgg,AdmLoc1,AdmLoc2,AdmLoc3,AdmLoc4,AdmLoc5,AdmLoc6,AdmLocBenClustAgg1,AdmLocBenClustAgg2,AdmLocBenClustAgg3,AdmLocBenClustAgg4,AdmLocBenClustAgg5,AdmLocBenClustAgg6,AdmLocCord1,AdmLocCord2,AdmLocCord3,AdmLocCord4,AdmLocCord5,AdmLocCord6,AdmLocClustBdg1,AdmLocClustBdg2,AdmLocClustBdg3,AdmLocClustBdg4,AdmLocClustBdg5,AdmLocClustBdg6,AYr,AdmLocBenReachedClustAgg1,AdmLocBenReachedClustAgg2,AdmLocBenReachedClustAgg3,AdmLocBenReachedClustAgg4,AdmLocBenReachedClustAgg5,AdmLocBenReachedClustAgg6
15,CBPF-SUD-24-R-INGO-27589,6,100.00,69##70##,East Darfur,Adila,,,,,1688##1865##2576##2753,1688##1865##2576##2753,,,,,"14.37827470,24.90422080","11.33207000,26.99384000",,,,,314580.00,314580.00,,,,,2024,1721##1902##2626##2807,1708##1887##2606##2785,,,,
15,CBPF-SUD-24-R-INGO-27589,6,100.00,69##70##,East Darfur,Yassin,,,,,1756##1941##2680##2866,1756##1941##2680##2866,,,,,"14.37827470,24.90422080","11.54119000,25.56062000",,,,,327420.01,327420.01,,,,,2024,1520##1680##2319##2480,1563##1728##2385##2551,,,,
15,CBPF-SUD-24-R-INGO-27591,7|||9|||11,29.00|||28.00|||43.00,69##70##,North Darfur,Ailliet,,,,,12000##18720##12000##17280|||32##4710##2356##2356|||3000##4680##3000##4320,12000##18720##12000##17280|||32##4710##2356##2356|||3000##4680##3000##4320,,,,,"15.76619690,24.90422080","11.95763300,27.04405600",,,,,217210.00|||209720.00|||322070.00,217210.00|||209720.00|||322070.00,,,,,2024,11187##17452##11187##16109|||30##4391##2196##2196|||2797##4363##2797##4027,11242##17538##11242##16188|||30##4412##2207##2207|||2811##4384##2811##4047,,,,
15,CBPF-SUD-24-R-INGO-27592,6|||9,70.00|||30.00,69##70##,West Kordofan,Al Idia,,,,,562##675##531##1268|||3204##1850##3181##7953,562##675##531##1268|||3204##1850##3181##7953,,,,,"11.89871900,28.12255600","11.89871900,28.12255600",,,,,262149.04|||224699.17,262149.04|||224699.17,,,,,2024,540##649##510##1218|||3078##1778##3056##7641,487##585##460##1100|||2779##1604##2759##6897,,,,
15,CBPF-SUD-24-R-INGO-27592,6|||9,70.00|||30.00,69##70##,West Kordofan,El Salam,,,,,562##675##531##1267|||0##0##0##0,562##675##531##1267|||0##0##0##0,,,,,"11.89871900,28.12255600","11.71916700,28.32944400",,,,,262149.04|||0.00,262149.04|||0.00,,,,,2024,493##592##466##1111|||0##0##0##0,561##673##530##1264|||0##0##0##0,,,,
15,CBPF-SUD-24-R-INGO-27593,6|||9,50.00|||50.00,69##70##,West Darfur,El Geneina,,,,,9854##11749##7201##9097|||18##31##2424##2964,9854##11749##7201##9097|||18##31##2424##2964,,,,,"12.84635610,23.00119890","13.44126600,22.44540400",,,,,535000.00|||535000.00,535000.00|||535000.00,,,,,2024,10338##12326##7555##9544|||19##33##2543##3110,10012##11938##7317##9243|||18##31##2463##3012,,,,
15,CBPF-SUD-24-R-INGO-27593,6|||9,50.00|||50.00,69##70##,West Darfur,Sirba,,,,,7136##8508##5215##6587|||18##33##2427##2965,7136##8508##5215##6587|||18##33##2427##2965,,,,,"12.84635610,23.00119890","13.80571700,22.50673300",,,,,535000.00|||535000.00,535000.00|||535000.00,,,,,2024,6285##7493##4593##5801|||16##29##2138##2611,6859##8178##5013##6332|||17##32##2333##2850,,,,
15,CBPF-SUD-24-R-INGO-27594,6|||7|||9,58.00|||24.00|||18.00,69##70##,West Darfur,Jebel Moon,,,,,5419##6620##5660##6436|||3383##3878##3071##3695|||1782##2142##1549##1910,5419##6620##5660##6436|||3383##3878##3071##3695|||1782##2142##1549##1910,,,,,"12.84635610,23.00119890","13.99953300,22.61503300",,,,,558540.00|||231120.00|||173340.00,558540.00|||231120.00|||173340.00,,,,,2024,4880##5962##5097##5796|||3047##3492##2766##3327|||1605##1929##1395##1720,5331##6513##5568##6332|||3328##3815##3021##3635|||1753##2107##1524##1879,,,,
15,CBPF-SUD-24-R-INGO-27594,6|||7|||9,58.00|||24.00|||18.00,69##70##,West Darfur,Kreinik,,,,,9227##11275##9638##10959|||4135##4740##3753##4517|||2181##2621##1896##2337,9227##11275##9638##10959|||4135##4740##3753##4517|||2181##2621##1896##2337,,,,,"12.84635610,23.00119890","13.36699400,22.88005500",,,,,682660.00|||282480.00|||211860.00,682660.00|||282480.00|||211860.00,,,,,2024,9125##11151##9532##10838|||4089##4688##3712##4467|||2157##2592##1875##2311,7789##9518##8136##9251|||3491##4001##3168##3813|||1841##2213##1601##1973,,,,
15,CBPF-SUD-24-R-INGO-27597,6|||9|||11,45.00|||45.00|||10.00,69##70##,South Kordofan,Abu Gubeiha,,,,,566##587##610##638|||437##3756##2140##2228|||918##953##995##1067,566##587##610##638|||437##3756##2140##2228|||918##953##995##1067,,,,,"11.19901920,29.41793240","11.45437600,31.23599100",,,,,142011.75|||142011.75|||29980.26,142011.75|||142011.75|||29980.26,,,,,2024,523##543##564##590|||404##3472##1978##2060|||849##881##920##986,569##590##613##642|||439##3777##2152##2240|||923##958##1000##1073,,,,
